G6159|αἴθριος|aithrios|open air
G6160|αιλ|ail|a portal
G6161|αιλάμ|ailam|porch
G6162|αιλαμμών|ailammōn|pediment
G6163|αἱμωδιάω|ahimōdiaō|to have tooth-chills
G6164|αἰνετός|ainetos|praiseworthy
G6165|αἴνη|ainē|praise
G6166|αἰνιγματιστής|ainigmatistēs|enigma speaker
G6167|αἴξ|aix|a goat
G6168|αἰπόλιον|aipolion|a flock of goats
G6169|αἰπόλος|aipolos|a herder
G6170|αἱρετός|ahiretos|preferred
G6171|αἰσθητικός|aisthētikos|sensitive
G6172|αἰσχρῶς|aischrōs|disgracefully
G6173|αἴτησις|aitēsis|requesting
G6174|αἰτιάομαι|aitiaomai|to blame
G6175|αἰτίωμα|aitiōma|accusation
G6176|αἰχμαλωτίς|aichmalōtis|a captive
G6177|ἀκακία|akakia|innocence
G6178|ἄκαν|akan|a thorn
G6179|ἀκάρδιος|akardios|heartless
G6180|ἀκατάποτος|akatapotos|impotable
G6181|ἀκατασκεύαστος|akataskeuastos|unready
G6182|ἀκατέργαστος|akatergastos|unfinished
G6183|ἄκαυστος|akaustos|inextinguishable
G6184|ἀκηδία|akēdia|indifference
G6185|ἀκηδιάω|akēdiaō|be discouraged
G6186|ἀκιδωτός|akidōtos|pointed
G6187|ἀκίνητος|akinētos|fixed
G6188|ἀκίς|akis|a point
G6189|ἄκλητος|aklētos|uncalled
G6190|ἀκμή|akmē|at this moment
G6191|ἄκμων|akmōn|anvil
G6192|ἀκόλαστος|akolastos|unrestrained
G6193|ἀκονάω|akonaō|to sharpen
G6194|ἀκοντίζω|akontizō|to shoot
G6195|ἀκοντιστής|akontistēs|a shooter
G6196|ἄκοσμος|akosmos|unbecoming
G6197|ἀκουσιάζομαι|akousiazomai|to act unintentionally
G6198|ἀκούσιος|akousios|unintentional
G6199|ἀκουσίως|akousiōs|unintentionally
G6200|ἀκουστός|akoustos|audible
G6201|ἀκουτίζω|akoutizō|to cause to hear
G6202|ἄκρα|akra|tip
G6203|ἀκριβασμός|akribasmos|restriction
G6204|ἀκροάομαι|akroaomai|to hear
G6205|ἀκρόασις|akroasis|a hearing
G6206|ἀκρόβυστος|akrobustos|uncircumcised
G6207|ἀκρόδρυα|akrodrua|a fruit tree
G6208|ἄκρος|akros|a toe/thumb/tip
G6209|ἀκρότομος|akrotomos|chiseled
G6210|ἀκρωτήριον|akrōtērion|an extremity
G6211|ἄκυρος|akuros|void
G6212|ἀλαζονεύομαι|alazoneuomai|to act ostentatiously
G6213|ἀλάλαγμα|alalagma|a price
G6214|ἀλαλαγμός|alalagmos|a shout
G6215|ἀλάομαι|alaomai|be a runaway
G6216|ἀλγέω|algeō|to ache
G6217|ἀλγηδών|algēdōn|suffering
G6218|ἄλγημα|algēma|pain
G6219|ἀλγηρός|algēros|painful
G6220|ἄλγος|algos|pain
G6221|ἄλειμμα|aleimma|an anointing
G6222|ἀλέω|aleō|to grind flour
G6223|ἁλιαίετος|haliaietos|an osprey
G6224|ἅλιμος|halimos|a salty land
G6225|ἀλισγέω|alisgeō|to pollute
G6226|ἁλίσκομαι|haliskomai|to capture
G6227|ἀλλ᾽ ἢ|all᾽ ē|but only
G6228|ἄλλαγμα|allagma|a price
G6229|ἀλλόγλωσσος|alloglōssos|foreign tongue
G6230|ἀλλοιόω|alloioō|to change
G6231|ἀλλοίωσις|alloiōsis|change
G6232|ἀλλοτριόω|allotrioō|to alienate
G6233|ἀλλοτρίως|allotriōs|strangely
G6234|ἀλλοτρίωσις|allotriōsis|alienation
G6235|ἀλλόφωνος|allophōnos|foreign language
G6236|ἅλμα|halma|a leap
G6237|ἅλμη|halmē|brine
G6238|ἁλμυρίς|halmuris|salt-flats
G6239|ἁλμυρός|halmuros|brackish
G6240|ἀλοητός|aloētos|threshing
G6241|ἀλοιφή|aloiphē|ointment
G6242|ἄλσος|alsos|a sacred grove
G6243|ἀλσώδης|alsōdēs|a woods
G6244|ἁλυσιδωτός|halusidōtos|a chain-work
G6245|ἄλφιτον|alphiton|toasted grain
G6246|ἀλφός|alphos|psoriasis
G6247|ἀλώθ|alōth|aloe
G6248|ἄμαξα|amaxa|a wagon
G6249|αμασενίθ|amasenith|octaves
G6250|ἀμάσητος|amasētos|unchewable
G6251|αματταρί|amattari|a mark
G6252|ἀμαυρός|amauros|faint
G6253|ἀμαυρόω|amauroō|to darken
G6254|ἀμβλύνω|amblunō|to blunt
G6255|ἀμέλγω|amelgō|to extract
G6256|ἄμελξις|amelxis|a milking
G6257|ἀμελῶς|amelōs|indifferently
G6258|ἀμέτρητος|ametrētos|unmeasured
G6259|ἄμητος|amētos|a harvest
G6260|ἀμισθί|amisthi|without pay
G6261|ἀμνάς|amnas|a ewe-lamb
G6262|ἀμνήστευτος|amnēsteutos|not betrothed
G6263|ἀμορίτης|amoritēs|honey-bread
G6264|ἀμπλάκημα|amplakēma|an error
G6265|ἀμύγδαλον|amugdalon|an almond
G6266|ἀμύθητος|amuthētos|untold
G6267|ἀμφίασις|amphiasis|clothing
G6268|ἀμφιβολεύς|amphiboleus|a fisherman
G6269|αμφίταπος|amphitapos|a spread
G6270|ἀμφοτεροδέξιος|amphoterodexios|ambidextrous
G6271|ἀνάμεσος|anamesos|in between
G6272|ἀναβαθμίς|anabathmis|stairs
G6273|ἀνάβασις|anabasis|ascending
G6274|ἀναβαστάζω|anabastazō|to carry
G6275|ἀναβάτης|anabatēs|a rider
G6276|ἀναβλαστάνω|anablastanō|to sprout up
G6277|ἀναβράσσω|anabrassō|to stir up
G6278|ἀναδενδράς|anadendras|tendril
G6279|ἀναζεύγνυμι|anazeugnumi|to break camp
G6280|ἀναζέω|anazeō|to break out
G6281|ἀναζυγή|anazugē|marching
G6282|ἀναιδής|anaidēs|impudent
G6283|ἀναιδῶς|anaidōs|impudently
G6284|ἀνακαίω|anakaiō|to kindle
G6285|ἀνακαλέω|anakaleō|to call by name
G6286|ἀνάκλισις|anaklisis|laying down
G6287|ἀνάκλιτος|anaklitos|a couch
G6288|ἀνακρούω|anakrouō|to play music
G6289|ἀναλάμπω|analampō|to blaze up
G6290|ἀνάλγητος|analgētos|unfeeling
G6291|ἀναλέγω|analegō|to gather up
G6292|ἀνάλημμα|analēmma|an elevation
G6293|ἀνάλωσις|analōsis|consumption
G6294|ἀναμίγνυμι|anamignumi|to intermingle
G6295|ἀνάνευσις|ananeusis|reluctance
G6296|ἀνανεύω|ananeuō|to disagree
G6297|ἀναντλέω|anantleō|be fatigued
G6298|ἀναξηραίνω|anaxērainō|to dry up
G6299|ἀνάπαυμα|anapauma|rest
G6300|ἀναπετάω|anapetaō|be effronted
G6301|ἀναπλήρωσις|anaplērōsis|satisfying
G6302|ἀναπνέω|anapneō|to breathe
G6303|ἀναπνοή|anapnoē|breathing
G6304|ἐναποθνῄσκω|enapothnēskō|to die in
G6305|ἀναποιέω|anapoieō|to prepare
G6306|ἀναπόστρεπτος|anapostreptos|not be turned away
G6307|ἀναπτερόω|anapteroō|to incite
G6308|ἀναρπάζω|anarpazō|to kidnap
G6309|ἀναρρήγνυμι|anarrēgnumi|to tear asunder
G6310|ἀνασκάπτω|anaskaptō|to dig up
G6311|ἀναστέλλω|anastellō|to rise upwards
G6312|ἀνάστημα|anastēma|a height
G6313|ἀνασχίζω|anaschizō|to rip open
G6314|ἀνασῴζω|anasōzō|to escape
G6315|ἀνατιναγμός|anatinagmos|violent shaking
G6316|ἀνατροπή|anatropē|a diet
G6317|ἀναφάλαντος|anaphalantos|forehead bald
G6318|ἀναφαλάντωμα|anaphalantōma|forehead bald
G6319|ἀναφορά|anaphora|an offering
G6320|ἀναφορεύς|anaphoreus|a bearing pole
G6321|ἀναφράσσω|anaphrassō|to block up
G6322|ἀναφυράω|anaphuraō|to mix up
G6323|ἀναφύω|anaphuō|to grow up
G6324|ἀναψυχή|anapsuchē|respite
G6325|ἀνδραγαθία|andragathia|valor
G6326|ἀνδρεία|andreia|courage
G6327|ἀνδρεῖος|andreios|vigorous
G6328|ἀνδρόγυνος|androgunos|effeminate
G6329|ἀνδρόω|androō|to become a man
G6330|ἀνειλέω|aneileō|to unroll
G6331|ἀνελεημόνως|aneleēmonōs|mercilessly
G6332|ἀνέλπιστος|anelpistos|unhoped for
G6333|ἀνεμοφθορία|anemophthoria|wind-blown
G6334|ἀνεμόφθορος|anemophthoros|destroyed by wind
G6335|ἀνεξέλεγκτος|anexelegktos|unascertained
G6336|ἀνήκοος|anēkoos|unhearing
G6337|ἀνήλατος|anēlatos|not malleable
G6338|ἀνθ᾽ οὗ|anth᾽ ohu|because of
G6339|ἀνθ᾽ ὧν|anth᾽ hōn|because of
G6340|ἀνθέμιον|anthemion|a flower ornament
G6341|ἀνθέω|antheō|to bloom
G6342|ἄνθινος|anthinos|a flowered work
G6343|ἀνθομολόγησις|anthomologēsis|confession
G6344|ἀνθυφαιρέω|anthuphaireō|to deduct
G6345|ἀνίατος|aniatos|incurable
G6346|ἀνίπταμαι|aniptamai|to fly about
G6347|ἄνισχυς|anischus|without strength
G6348|ἄνοιγμα|anoigma|a passage
G6349|ἀνομέω|anomeō|to act lawlessly
G6350|ἀνόμημα|anomēma|a violation of law
G6351|ἀνορύσσω|anorussō|to root up
G6352|ἄνους|anous|mindless
G6353|ἀνταίρω|antairō|to rise against
G6354|ἀντακούω|antakouō|to listen in turn
G6355|ἀνταλλάσσω|antallassō|to bargain
G6356|ἀντάμειψις|antameipsis|remuneration
G6357|ἀνταναιρέω|antanaireō|to take away in return
G6358|ἀνταποθνήσκω|antapothnēskō|to  die for
